Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,company_age,python_jd,r,aws,spark,excel
BIM Content Manager,$27K - $43K (Glassdoor est.),Content Manager,"5+ years of cumulative experience in Industrial or Commercial MEP BIM modeling and drawing production of critical facilities
5+ Years’ experience using Revit for producing engineering BIM models and drawings
Ability to carry drawing standards through exploration, development, and into deployment/mass production
Familiarity with the BIMForum LOD Specifications, plus AIA and NBIMS standards and best practices for BIM collaboration.
3+ Years’ experience applying continuous Improvement methodologies, practices and concepts to modeling and design work (ex: LEAN, Six Sigma, Kaizen)
Are you a creative, smart and driven individual that enjoys working with complex problems within a team environment? If this is you, we want YOU on our team!

You will be a part of highly creative and efficient BIM team tasked with tackling the most fascinating and challenging problems in designing, building, and operating Amazon owned Data Center facilities globally. You will be responsible for working with the organization’s leadership to implement full building life cycle BIM strategy for our design, construction, and operations processes by helping to develop and implement our Innovation and Strategic road-map.

Amazon’s Data Centers are industry leading examples of innovation in the areas of space utilization, energy efficiency, and cost effectiveness. We are known for our speed to market and reliability. We are the global team responsible for the design and operation of critical industry leading Data Center facilities located throughout the world. Our Design Team is on the forefront of creating and delivering the most innovative products to our customers; and are known for being a diverse and upbeat team that is changing the face of Cloud Computing. We continue to grow and are looking for individuals that can support our speed to market, enjoy a challenge, and have a desire for professional growth and continuous learning. Amazon’s work environment is unique in every aspect and offers an exceptional opportunity for the right candidate. At Amazon we do highly support continued learning opportunities and focus on continued employee development.

Responsibilities

Daily responsibilities will include working on all aspects of the entire Data Center life cycle starting with design, construction, and maintenance of Data Center Revit models for the Americas Region. You must be able to work within a team and depend on others to accomplish the required work. This includes working with internal groups as well as external suppliers and consultants including utilities, manufacturers, vendors, and contractors. Your duties will include:

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","Amazon Data Services, Inc.",3.8,"San Francisco, CA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),27,43,35.0, CA,27,0,0,0,0,0
Partner Marketing Manager,$27K - $43K (Glassdoor est.),Marketing Manager,"Starburst is on a mission to modernize data access & analytics. Our company was founded in an unusual way; with customers and revenue from the beginning! Our growth is already ahead of some of the most successful software start-ups, and we dont plan on slowing down.

We believe our opportunity is huge. Every large company in the world suffers from a data silo problem. Traditional data warehouse products approach the problem with old solutions that breed inefficiency and ultimately cant help business analysts run fast analytics on all their data. This prevents the business from making better decisions to improve their companys performance.

Starburst provides a modern solution that addresses these data silo & speed of access problems. Starburst helps enterprises harness the value of open source Trino, the fastest distributed query engine available today, by adding the tools and 24x7 support that meet the needs for big data access at scale. Ultimately, Starburst helps organizations run analytics anywhere to make better business decisions.",Starburst Data,4.8,United States,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,27,43,35.0,United States,4,0,0,0,0,0
Oracle Consultant,$27K - $43K (Glassdoor est.),Oracle Consultant,"Seeking interested candidates with Oracle preferably on a HP Platform with 4-5 years experience. 2 year project in the Northern Virginia area.
Benefits:

Health Insurance
Dental Insurance
Life and Disability Insurance
Paid Vacations, Sick Leave and Holidays.",Supra Data Systems,5.0,"Oak Hill, VA",1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),27,43,35.0, VA,-1,0,0,0,0,0
Manufacturing Process Engineer,$27K - $43K (Glassdoor est.),Process Engineer,"Manufacturing Process Engineer

Primary/Essential Duties:
1. Design: Assist with new product development and provide support for the timely fabrication of new products.
2. Leadership: Provide technical direction to Technicians and Interns. Research new technology and assist in bringing new technical capability to DDC’s Manufacturing or Outsource Partners.
3. Optimize: Assist the design team in developing creative approaches that favorably optimize design trade offs for various elements of a design such as product cost, performance, feature set, time to market, and technical risk.
4. Production Support: Provide day-to-day Process Engineering support to all areas of the company (Engineering, Product Development, Procurement, Manufacturing and Product Assurance). This includes daily oversight of production processes with a focus towards improving Productivity either through process enhancements or automation. Seek out bottle necks in the process flow with goal of a balance manufacturing process. Take a proactive approach to trouble shooting, and provide timely resolution of production issues in an effort to support the on-time and cost efficient shipment of quality products. This may also include assisting in the evaluation and disposition of discrepant materials at Incoming Inspection and Manufacturing.
5. Planning: Develop plans, schedules, and identify resources required to develop and introduce new processes in a timely fashion.
6. Innovation: Research and Conceive methods for achieving product requirements and specifications using appropriate design, process, manufacturing and mechanical techniques.",Data Device Corporation,2.5,"Bohemia, NY",201 to 500 Employees,1964,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),27,43,35.0, NY,57,0,0,0,0,0
Lead Application Engineer,$27K - $43K (Glassdoor est.),Applications Engineer,"Req ID: 99911

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Lead Application Engineer to join our team in Chicago, Illinois (US-IL), United States (US).

Responsibilities and duties:
Lead the application and database support team by providing them guidance and support to critical technical aspects
Analyze client IT application environment and suggest improvement opportunities, upgrades and migration requirements









:

INDPUBLIC



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Chicago


Consulting, Developer, Database, Technology",NTT DATA Corporation,3.7,"Chicago, IL",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),27,43,35.0, IL,54,0,0,0,0,0
Data Scientist/Data Science Instructor,$27K - $43K (Glassdoor est.),Data Scientist,"About Us
Just as the field of Data Science is growing and ever-changing, so is our team: we’re on the hunt for talented instructors who are passionate about what they do and want to make a difference in the education of the world’s up-and-coming data scientists — our students.
The NYC Data Science Academy prides itself on housing the most comprehensive 12-week intensive boot camp in data science methodologies, providing theoretical, practical, and hands-on knowledge to our scholars. We nurture top talents in the industrial & academic world into industry-ready data scientists, by equipping them with knowledge, technical skills, and insights aiming at maximal impacts to the business world. We adapt faster than the quickest machine learning algorithms out there — with content that reflects research and application in the growing industry and teaching expertise which goes beyond extraordinary.",NYC Data Science Academy,4.4,"New York, NY",1 to 50 Employees,2014,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,27,43,35.0, NY,7,0,0,0,0,0
UX Designer - Product Strategy,$27K - $43K (Glassdoor est.),Ux Designer,"Description:
VertexOne is seeking a versatile Designer to join our Product team and assist with UI / UX design across our SaaS platform, including our consumer-facing Utility Portal (B2C) products, Utility Analytics Dashboard (B2B), and our Customer Information System (B2B) products.
The ideal candidate is well-versed in user-centered design processes digging into user research, developing a framework for understanding users needs using constructs like personas, and leading the highly-iterative process of building delightful product experiences.
Essential Job Duties:
Design elegant, intuitive, responsive and functional user experiences of VertexOne SaaS products from conception through launch as well as additional ongoing iterations.
Translate concepts into user flows, wireframes, mockups, and prototypes that lead to intuitive user experiences.
. Requirements:",Vertex Data L.P.,4.2,Remote,201 to 500 Employees,1996,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),27,43,35.0,Remote,25,0,0,0,0,0
C# .NET DEVELOPER,$27K - $43K (Glassdoor est.),Web Developer,"This is an exceptional opportunity for a C# .NET Web Developer to play a pivotal role in front end/middle tier architecture and programming to support the company’s web-based applications. This is a great position for the self-motivated, organized candidate who has rigorous attention to detail. The company is looking for people who are creative problem solvers and “out-of-the-box” thinkers. The ideal candidate is one that can thrive in a fast-moving, creative company and who appreciates a casual and collaborative environment.
Responsibilities:
Work with other developers to develop and build systems on the .NET platform using cutting-edge techniques, tools and utilities
Research, test and implement new technologies, frameworks and utilities
Help enforce development standards and best practices",Vital Data Technology,3.7,"Newport Beach, CA",1 to 50 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),27,43,35.0, CA,-1,0,0,0,0,0
Medical Collections Representative,$27K - $43K (Glassdoor est.),Collector,"MEDICAL COLLECTIONS REPRESENTIVE - $$$ $1,000 Sign On Bonus $$$
Medical Data Systems, a leader in the Revenue Cycle Management and the Accounts Receivable Industry, is aggressively hiring full-time Medical Collection Representatives that can proficiently multitask in a fast-paced environment. We are seeking people who can help patients figure out a way to resolve past due balances in a professional manner. We help people eliminate debt.
Hourly base pay, PAID TRAINING, and Unlimited BONUS potential.
Our representatives average $14-$20 an hour year one; $20-$30 an hour year two; and $40-$50 an hour for our ELITE performers. We are vigorously committed to your success.
This is not a pipe dream, ask our representatives!","Medical Data Systems, Inc (MDS)",2.3,"Sebring, FL",501 to 1000 Employees,1985,Company - Private,Consulting,Business Services,$25 to $50 million (USD),27,43,35.0, FL,36,0,0,0,0,0
System Engineer - Infrastructure,$27K - $43K (Glassdoor est.),Systems Engineer,"4+ years’ experience administrating in a Linux environment
3+ years’ experience of systems management (e.g. 50+ servers)
3+ years’ experience of building scripts, tooling, and automation for large-scale computing environments using Python, Java, PHP, Ruby, or Bash/Shell.
Bachelor's Degree in an IT related field, or equivalency in related work experience
Current, active US Government Security Clearance of Top Secret or above
Amazon is building some of the largest distributed systems in the world, and we need astute people to support and engineer the next generation of compute and storage platforms for our customer. Amazon’s ISO (Infrastructure, Services and Operations) group provides support worldwide with a focus on continuous improvement. We have exceptionally high standards for our infrastructure as well as our employees, and our systems are highly reliable, highly available, and turn scale into an advantage for our business and an asset to our customers. Our employees are exceptional, driven to serve customers, and fun to work with.

The AWS ISO (Infrastructure, Services and Operations) team is looking for experienced engineers who are willing to own solutions, insist on the highest standards for our customers and can both think of the big picture but dive deep into solutions when the situation warrants. The skills and traits we are seeking include:
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and we host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us.

Our team also puts a high value on work-life balance. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here, which is why we aren’t focused on how many hours you spend at work or online. Instead, we’re happy to offer a flexible schedule so you can have a more productive and well-balanced life—both in and outside of work.

This position can sit in Denver CO, Herndon VA, or Seattle WA.

The pay range for this position in Colorado is $68,200 - $119,400/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.","Amazon Data Services, Inc.",3.8,"Denver, CO",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),27,43,35.0, CO,27,1,0,1,0,0
"Specialist, Regulatory Relations",$27K - $43K (Glassdoor est.),Public Affairs Specialist,"It's fun to work in a company where people truly BELIEVE in what they're doing !
Job Summary
Alliance Data is focused on cultivating a strong, unified culture that embraces a sense of personal accountability for developing the highest standards in governance and controls across the company.

The Specialist, Regulatory Relations provides critical support to the Regulatory Relations program through coordination of regulatory activities across Comenity Bank, Comenity Capital Bank, and Comenity LLC. This role supports regulatory examinations, regulatory requests, regulatory findings management, as well as the development and execution of reporting for senior management, committees and the Board of Directors.


Bachelor’s Degree
Five or more years
Accounting, Bank Regulations, Financial Audit, Organizational Management (OM), Regulatory Examinations, Regulatory Requirements, Risk Management
Enterprise Risk


Regular",Alliance Data,3.3,"Draper, UT",10000+ Employees,1996,Company - Public,Advertising & Marketing,Business Services,$5 to $10 billion (USD),27,43,35.0, UT,25,0,0,0,0,0
Data Engineer Intern,$27K - $43K (Glassdoor est.),Data Engineer,"Seattle Data Guy is a data engineering and data science consulting firm that works with customers in multiple industries. We provide end-to-end data solutions. This means we help take companies' raw data and process it into data warehouses that can then be used to support dashboards, analytics, machine learning models, and more.
*
In addition, our team is also committed to teaching the data science and data engineering communities through content creation.
*
*
Responsibilities
Build & maintain data pipelines using Apache Airflow, Python, and other ETL tools",Seattle Data Guy,-1.0,Remote,-1,-1,-1,-1,-1,-1,27,43,35.0,Remote,-1,1,0,0,0,0
Programmer Analyst,$27K - $43K (Glassdoor est.),Programmer Analyst,"Responsible to work closely with end-users and internal stakeholders including development, dba, and quality assurance teams to provide business solutions in response to user request; understand and reconcile user requirements, process models and data; Gather necessary information required for the development; Perform gap analyses, risk analysis for the impact on the overall project; Perform Data Masking project meant for securing the production data that includes ER diagram designing, data integrity and re-designing the table schemas; Meet the end-users to assess business requirements, match these requirements to objectives and guide them to the applicable processes; Understand the project direction and structure in order to execute the project objectives in support of business needs and manage changes; Write business documents, functional requirements, user stories, improvement and change requests with data elements mapping and UML-wireframes in Agile methodologies; Track the development of the requirement and ensuring timely delivery with minimal impact to production operations; Tools and Technologies to be utilized: Waterfall, Agile Scrum, RUP, MS Project, MS Visio, MS-Office Suites, Jira, Confluence, Share Point, Rally. Travels to various unanticipated client locations within United States. Must have bachelors in Computers/ Electronics /Electrical/ Business/ Related + 1 Yr. exp.

as Programmer Analyst/ System Analyst/ Business Analyst/ Related. Respond to HR Manager, PA/AW/19-1, Global Data Management, Inc., 90 Woodbridge Center Dr., Suite # 380, Woodbridge, NJ 07095.",Global Data Management Inc.,4.4,"Woodbridge, NJ",51 to 200 Employees,2008,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),27,43,35.0, NJ,13,0,0,0,0,0
Marketing Research Strategist,$27K - $43K (Glassdoor est.),Market Researcher,"It's fun to work in a company where people truly BELIEVE in what they're doing !
Job Summary
The Marketing Strategy group is responsible for the development of programs that allow brands and ADS to reward customer behavior through the development of Loyalty and Value Proposition programs. This includes customer research, thought leadership, and project management with our brand and internal partners from inception to completion of each program.


Bachelor’s Degree (Required)
Six or more years
Marketing


Regular",Alliance Data,3.3,"Columbus, OH",10000+ Employees,1996,Company - Public,Advertising & Marketing,Business Services,$5 to $10 billion (USD),27,43,35.0, OH,25,0,0,0,0,0
"Vice President, Finance",$27K - $43K (Glassdoor est.),Finance Manager,"About Vantage Data Centers

Vantage is committed to being a workplace of inclusion, equality, respect and acceptance. We celebrate diversity and intentionally seek out opportunities to learn from one another’s experience.

Vantage Data Centers powers, cools, protects, and connects the technology of the world’s well-known hyperscalers, cloud providers and large enterprises. Developing and operating across six markets in North America and six markets in Europe, Vantage has evolved data center design in innovative ways to deliver dramatic gains in reliability, efficiency and sustainability in flexible environments that can scale as quickly as the market demands. Vantage’s business is growing exponentially, through a combination of greenfield market expansion and acquisitions across North America and Europe.



The Finance & Accounting team consists of senior executives starting with our CFO and includes senior members such as the Chief Administrative Officer; Chief Financial Officer – Europe; SVP, General Counsel; SVP, Treasurer; and SVP, Global Human Resources. The VP, Finance will work as an integral part of this highly talented and well-functioning team that is responsible for the overall success of Vantage’s financial management and administration. The Finance & Accounting team meets on a regular basis and determines how to best manage the business.



The VP, Finance is a new role at Vantage that is critical to our continued success and scaling as the company continues to expand. Vantage is looking for a senior, hands-on VP to cross-functionally manage and coordinate teammates across Financial Planning & Analysis, Construction Cost Finance and Investor Relations. In addition to working directly for the CFO and with the Vantage executive team, this individual will be responsible for managing the financial reporting, assessment and budget process to be presented to the Company’s executives, board of directors and investors. This position will also develop and manage KPIs for delivery to investors as well as being the point of contact for investor inquiries. This person should be comfortable working with executives and ensure that key initiatives are kept visible and tracked for progress.

We operate with No Ego and No Arrogance. We work to build each other up and support one another, appreciating each other’s strengths and respecting each other’s weaknesses. We find joy in our work and each other, actively seeking opportunities to inject fun into what we do. Our hard and efficient work is rewarded with an above market total compensation package. We offer a comprehensive suite of health and welfare, retirement, and paid leave benefits exceeding local expectations.

Safety and security always matter. During COVID, all positions that can work remotely have been, and appropriate steps have been taken to ensure the safety of employees in any position essential to be on site. Regardless of where you are working, technology to work effectively is provided on or in advance of your first day of employment.

Throughout the year, the advantage of being part of the Vantage team is evident with an array of benefits, recognition, training and development, and the knowledge that your contribution adds value to the company and our community.

Don't meet all the requirements? Please still apply if you think you are the right person for the position. We are always keen to speak to people who connect with our mission and values.",Vantage Data Centers,4.3,"Denver, CO",201 to 500 Employees,2010,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,27,43,35.0, CO,11,0,0,0,0,0
Business Intelligence Consultant,$27K - $43K (Glassdoor est.),Bi Analyst,"Job Position: Business Intelligence Consultant
Job Location: Dallas, Texas
Required Education: Graduate Degree in Supply Chain Management or Related Field
Job Type: Full Time, Employee
WCI Consulting, Inc. is currently looking for a qualified Business Intelligence Consultant to join our team in Dallas. Candidacy qualifications include:
2+ years implementing Business Intelligence reporting solutions (SAP BusinessObjects, Microstrategy, Cognos, etc.) OR 2+ years in ETL development (SAP Data Services or Informatica) a plus
Understanding relational data modeling a plus
SQL skills required",WCI Data Solutions,-1.0,"Dallas, TX",-1,-1,-1,-1,-1,-1,27,43,35.0, TX,-1,0,0,0,0,0
UI-UX Developer,$27K - $43K (Glassdoor est.),Front End Engineer,"Req ID: 113832

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a UI-UX Developer to join our team in Charlotte, North Carolina (US-NC), United States (US).

Project Deliverables:

This role is for a talented Web UI visual designer and web developer, who is passionate about building dynamic user interfaces and experiences that are engaging, functional and fun. The right candidate will be part of a collaborative team creating new UI business solution ideations and interactive visual concepts, as well as production-ready high-fidelity web prototypes for various existing client projects.

#INDFSINS
#L1-NAM



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.",NTT DATA Services,3.5,"Charlotte, NC",201 to 500 Employees,-1,Company - Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,27,43,35.0, NC,-1,0,0,0,0,0
Loan IQ Data Architect / Engineer,$27K - $43K (Glassdoor est.),Database Architect,"Req ID: 113106

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Loan IQ Data Architect / Engineer to join our team in Dallas, Texas (US-TX), United States (US).

The Loan IQ Data Architect will be responsible for optimizing current domain capabilities, developing the roadmap for the strategic evolution of the product & maximizing value for operations & market partners. They will combine years of proven expertise to create innovative technology through solid engineering practices. With deep knowledge of design, analytics, development, coding, testing and application programming, the Loan IQ Data Architect will satisfy both business and functional requirements. The Loan IQ Data Architect will encompass loan origination process and fixed income products like treasury (bonds, notes, and bill), mortgaged backed securities (MBS), municipal bonds, corporate bonds, junk bonds and convertible bonds. Will ensure completeness, correctness and consistency of data and data structure identifying, tracking, and resolving basic queries. The Loan IQ Data Architect will be hired into this role with a good understanding of SDLC process and will be involved in end to end implementations of DWH and reporting solutions using Tableau, SSRS, OBIEE, Informatica, SSIS and Data Stage.

Basic Qualifications:






Preferences:


#LI-NAM

#BConsult



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Dallas

Fort Worth


Database, Consulting, Developer, Management Consulting, SQL, Technology, Management",NTT DATA Corporation,3.7,"Atlanta, GA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),27,43,35.0, GA,54,0,0,0,0,0
Experienced Data Architect - Loan IQ,$27K - $43K (Glassdoor est.),Database Architect,"Req ID: 113106

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Loan IQ Data Architect / Engineer to join our team in Dallas, Texas (US-TX), United States (US).

The Loan IQ Data Architect will be responsible for optimizing current domain capabilities, developing the roadmap for the strategic evolution of the product & maximizing value for operations & market partners. They will combine years of proven expertise to create innovative technology through solid engineering practices. With deep knowledge of design, analytics, development, coding, testing and application programming, the Loan IQ Data Architect will satisfy both business and functional requirements. The Loan IQ Data Architect will encompass loan origination process and fixed income products like treasury (bonds, notes, and bill), mortgaged backed securities (MBS), municipal bonds, corporate bonds, junk bonds and convertible bonds. Will ensure completeness, correctness and consistency of data and data structure identifying, tracking, and resolving basic queries. The Loan IQ Data Architect will be hired into this role with a good understanding of SDLC process and will be involved in end to end implementations of DWH and reporting solutions using Tableau, SSRS, OBIEE, Informatica, SSIS and Data Stage.

Basic Qualifications:






Preferences:


#LI-NAM

#BConsult



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Dallas

Fort Worth


Database, Consulting, Developer, Management Consulting, SQL, Technology, Management",NTT DATA Corporation,3.7,"Atlanta, GA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),27,43,35.0, GA,54,0,0,0,0,0
Programmer/Analyst,$27K - $43K (Glassdoor est.),Programmer Analyst,"You didn’t get in to this field to do the same types of tasks over and over; that’s boring. Consider consulting, where everything changes – the business domain, the technology, the team, the users, the client – everything. Constant change means constant challenge and opportunity. Sound exciting? It isn’t for everyone, but if you thrive in this type of environment, you belong at Resource Data.
Ideally, you’ll have a couple years’ experience in .Net programming, databases, and web applications; but, we’re more interested in your accomplishments than your current skills. To show you what we mean, look at your first year here.
To get started, you’ll get familiar with us by working on our internal business systems. This will give you a chance to get to know the business users, other developers, and team leads. You’ll get familiar with our internal development process and tools.",Resource Data,4.3,"Boise, ID",201 to 500 Employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),27,43,35.0, ID,35,0,0,0,0,0
Warehouse Specialist,$27K - $43K (Glassdoor est.),Warehouse Worker,"Req ID: 111595
NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.
We are currently seeking a Warehouse Specialist to join our team in Chicago, Illinois (US-IL), United States (US).
Job Responsibilities Include:
Implement Asset Management processes for Hardware and software assets within the datacenter and end user space
End to End Asset Management Life Cycle Experience both in Hardware and software",NTT DATA Services,3.7,"Chicago, IL",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),27,43,35.0, IL,54,0,0,0,0,0
"Product Manager, Massive Analytics & APIs",$27K - $43K (Glassdoor est.),Product Manager,"StreetLight Data, the pioneer in Big Data for mobility, is revolutionizing transportation and urban planning to help the world better deploy infrastructure and adapt to new forms of mobility. From legacy systems to ride sharing and bike sharing to autonomous vehicles, our platform powers 6,000+ mobility projects every month for government and private clients, and we're just getting started.

StreetLight Data is seeking a Product Manager to work with our data science, data engineering and web applications teams in two areas: massive analytics offerings and application programming interfaces for StreetLight’s best-in-class transportation data platform. A new product line, Massive Analytics refers to analyses run over large geographic regions using predefined geometries for various transportation metrics that provide measures of large scale transportation and related patterns such as Vehicle Miles Traveled (VMT) or Origin - Destination volumes. Reporting initially to the VP of Product, you will collaborate with our other product managers, engineering, marketing and sales to research, define, plan, build, release and drive successful sales and adoption of both new and existing data products for large geographies and the APIs for Streetlight InSight®, our end-user application as well as new APIs that will enable partners and customers to integrate StreetLight analytics into their own applications.",StreetLight Data,4.9,"San Francisco, CA",51 to 200 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),27,43,35.0, CA,10,0,0,0,0,0
Business Intelligence Programmer/Analyst,$27K - $43K (Glassdoor est.),Programmer Analyst,"Job Summary:
The Business Intelligence software developer will work with a team to promote the expansion of a global data warehouse and enterprise business intelligence tools. Developing enterprise business intelligence solutions (e.g. Dashboards, reports etc.) in support of EDW and other data customers. Developing or enhancing best practices approaches for business intelligence solutions.
Training and guiding internal customers of the data warehouse and other data sources to maximize their self-empowerment and self-sufficiency in using business intelligence tools to query, report on and analyze their data. Debug application or data content related issues. Developing new, or converting existing legacy systems into business intelligence applications fully leveraging new corporate business intelligence tools and deploying best in class solutions.

Experience Required:
3+ years experience with Business Objects (creation)
2+ years additional experience in other BI tools or prior BOBJ versions
1 year of experience with latest BOBJ product release or BOBJ XI R2
Development experience with Business Objects Xcelsius highly desirable
Strong SQL skills essential. Oracle PL/SQL skills highly desirable
Good presentation skills, experience with training users on BI tools &
solutions a strong plus
Java and Java Scripting (JSP) and fluid with Unix environments highly desirable.
Strong business and technical analysis skills
Experience with data mart/warehouses and dimensional data models required
Effective verbal and written communication skills
Rapidly absorb complex business questions and translate these into clear technical requirements, building these into effective BI solutions


Bachelors Degree in a technology related discipline",CRC DATA,5.0,"New York, NY",1 to 50 Employees,1992,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),27,43,35.0, NY,29,0,0,0,0,0
Project Manager/Sr. Analyst,$41K - $108K (Glassdoor est.),Project Manager,"More than ever, businesses need to do more with less. Our goal is to help them so they may prosper despite uncertainty. Our project managers are key to realizing that goal.
Project management at Resource Data isn’t about checking boxes. Project managers have a unique perspective. They know the places a team can bend, adjust, and be creative to achieve success. Our project managers bring their technical expertise and analytical mindset to each engagement, working with the client and the development team to deliver the best solution. Results drive our success.
We expect that there will be continued tough economic times here in Alaska, but there will also be opportunities. As a consulting firm, we want to be ready for the opportunities. If you’re interested in a career as a consultant and project manager, we’d like to start the conversation now.",Resource Data,4.3,"Portland, OR",201 to 500 Employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),41,108,74.5, OR,35,0,0,0,0,0
Youth Connections Coach,$41K - $108K (Glassdoor est.),Coach,"Youth Connections Coach
Job Tracking ID : 512181-760799
Job Level : Mid Career (2+ years)
Level of Education : BA/BS
Job Type : Full-Time/Regular
Date Updated : 02/25/2021
Salary : $36,000 year
Job Description","Educational Data Systems, Inc.",4.3,"Livonia, MI",501 to 1000 Employees,1979,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,41,108,74.5, MI,42,0,0,0,0,0
Marketing Partner,$41K - $108K (Glassdoor est.),Marketing Manager,"We are excited to be adding a new member to our team! As part of the marketing technology team supporting our websites and web presence you will support marketers with content entry and use of the content management system. You will work with stakeholders to define requirements, understand use cases and help to direct developers to create and enhance existing design and functionality. You will also serve as an administrator for the content management system.

Your responsibilities will include understanding, implementing and training on web best practices, supporting SEO and web analytics efforts, collaborating with other marketing technologists to ensure the content management system integrates across the technology stack, and supporting additional technology projects and team members as a web subject matter expert. You will also help to troubleshoot website errors, page issues and identify or leverage new capabilities with the content management system or other web technologies.



Seniority Level

Mid-Senior level

Industry
Employment Type

Full-time

Job Functions",Data Bridge Consultants,4.0,Remote,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),41,108,74.5,Remote,-1,0,0,0,0,0
